CM031295.1 NC_054824.1
CM031296.1 NC_054825.1
CM031297.1 NC_054826.1
CM031298.1 NC_054827.1
CM031299.1 NC_054828.1
CM031300.1 NC_054829.1
CM031301.1 NC_054830.1
CM031302.1 NC_054831.1
CM031303.1 NC_054832.1
CM031304.1 NC_054833.1
CM031305.1 NC_054834.1
CM031306.1 NC_054835.1
CM031307.1 NC_054836.1
CM031308.1 NC_054837.1
CM031309.1 NC_054838.1
CM031310.1 NC_054839.1
CM031311.1 NC_054840.1
CM031312.1 NC_054841.1
CM031313.1 NC_054842.1
CM031314.1 NC_054843.1
CM031315.1 NC_054844.1
CM031316.1 NC_054845.1
CM031317.1 NC_054846.1
CM031318.1 NC_054847.1
CM031319.1 NC_054848.1
