Ref,INDV,AltID,Sex,Study,Collection_Date,CollectionGeneral,Species,Type,Locality,Local_date,hetPer10Kb,F,heterozygosity
arcticfox,GFO41F,GFO41F,F,2016,2012,2000s,Urocyon cinereoargenteus,Mainland,Santa Monica Mountains,Santa Monica Mountains 2000s,4.63257706,-1.31933,0.000463258
Canfam3.1,GFO41F,GFO41F,F,2016,2012,2000s,Urocyon cinereoargenteus,Mainland,Santa Monica Mountains,Santa Monica Mountains 2000s,4.583664873,-1.32436,0.000458366
Canfam4,GFO41F,GFO41F,F,2016,2012,2000s,Urocyon cinereoargenteus,Mainland,Santa Monica Mountains,Santa Monica Mountains 2000s,4.602556217,-1.32594,0.000460256
grayfox,GFO41F,GFO41F,F,2016,2012,2000s,Urocyon cinereoargenteus,Mainland,Santa Monica Mountains,Santa Monica Mountains 2000s,5.054773284,-1.59782,0.000505477
arcticfox,SRR7458270,NPSGFO30,M,2018,1993,1990s,Urocyon cinereoargenteus,Mainland,Golden Gate National Rec Area,Golden Gate National Rec Area 1990s,3.425789486,-0.71598,0.000342579
Canfam3.1,SRR7458270,NPSGFO30,M,2018,1993,1990s,Urocyon cinereoargenteus,Mainland,Golden Gate National Rec Area,Golden Gate National Rec Area 1990s,3.389742719,-0.71959,0.000338974
Canfam4,SRR7458270,NPSGFO30,M,2018,1993,1990s,Urocyon cinereoargenteus,Mainland,Golden Gate National Rec Area,Golden Gate National Rec Area 1990s,3.400292988,-0.71904,0.000340029
grayfox,SRR7458270,NPSGFO30,M,2018,1993,1990s,Urocyon cinereoargenteus,Mainland,Golden Gate National Rec Area,Golden Gate National Rec Area 1990s,3.447709704,-0.77266,0.000344771
arcticfox,SCA16F,SCA16F,F,2016,1988,1988,Urocyon littoralis,Island,Santa Catalina,Santa Catalina 1988,0.90038909,0.54554,9.00389E-05
Canfam3.1,SCA16F,SCA16F,F,2016,1988,1988,Urocyon littoralis,Island,Santa Catalina,Santa Catalina 1988,0.891583034,0.54431,8.91583E-05
Canfam4,SCA16F,SCA16F,F,2016,1988,1988,Urocyon littoralis,Island,Santa Catalina,Santa Catalina 1988,0.893313591,0.54498,8.93314E-05
