chr1	CM021962.1	NC_049222.1
chr2	CM021963.1	NC_049223.1
chr3	CM021964.1	NC_049224.1
chr4	CM021965.1	NC_049225.1
chr5	CM021966.1	NC_049226.1
chr6	CM021967.1	NC_049227.1
chr7	CM021968.1	NC_049228.1
chr8	CM021969.1	NC_049229.1
chr9	CM021970.1	NC_049230.1
chr10	CM021971.1	NC_049231.1
chr11	CM021972.1	NC_049232.1
chr12	CM021973.1	NC_049233.1
chr13	CM021974.1	NC_049234.1
chr14	CM021975.1	NC_049235.1
chr15	CM021976.1	NC_049236.1
chr16	CM021977.1	NC_049237.1
chr17	CM021978.1	NC_049238.1
chr18	CM021979.1	NC_049239.1
chr19	CM021980.1	NC_049240.1
chr20	CM021981.1	NC_049241.1
chr21	CM021982.1	NC_049242.1
chr22	CM021983.1	NC_049243.1
chr23	CM021984.1	NC_049244.1
chr24	CM021985.1	NC_049245.1
chr25	CM021986.1	NC_049246.1
chr26	CM021987.1	NC_049247.1
chr27	CM021988.1	NC_049248.1
chr28	CM021989.1	NC_049249.1
chr29	CM021990.1	NC_049250.1
chr30	CM021991.1	NC_049251.1
chr31	CM021992.1	NC_049252.1
chr32	CM021993.1	NC_049253.1
chr33	CM021994.1	NC_049254.1
chr34	CM021995.1	NC_049255.1
chr35	CM021996.1	NC_049256.1
chr36	CM021997.1	NC_049257.1
chr37	CM021998.1	NC_049258.1
chr38	CM021999.1	NC_049259.1
