CM021962.1 chr1
CM021963.1 chr2
CM021964.1 chr3
CM021965.1 chr4
CM021966.1 chr5
CM021967.1 chr6
CM021968.1 chr7
CM021969.1 chr8
CM021970.1 chr9
CM021971.1 chr10
CM021972.1 chr11
CM021973.1 chr12
CM021974.1 chr13
CM021975.1 chr14
CM021976.1 chr15
CM021977.1 chr16
CM021978.1 chr17
CM021979.1 chr18
CM021980.1 chr19
CM021981.1 chr20
CM021982.1 chr21
CM021983.1 chr22
CM021984.1 chr23
CM021985.1 chr24
CM021986.1 chr25
CM021987.1 chr26
CM021988.1 chr27
CM021989.1 chr28
CM021990.1 chr29
CM021991.1 chr30
CM021992.1 chr31
CM021993.1 chr32
CM021994.1 chr33
CM021995.1 chr34
CM021996.1 chr35
CM021997.1 chr36
CM021998.1 chr37
CM021999.1 chr38
