chr1 NC_049222.1
chr2 NC_049223.1
chr3 NC_049224.1
chr4 NC_049225.1
chr5 NC_049226.1
chr6 NC_049227.1
chr7 NC_049228.1
chr8 NC_049229.1
chr9 NC_049230.1
chr10 NC_049231.1
chr11 NC_049232.1
chr12 NC_049233.1
chr13 NC_049234.1
chr14 NC_049235.1
chr15 NC_049236.1
chr16 NC_049237.1
chr17 NC_049238.1
chr18 NC_049239.1
chr19 NC_049240.1
chr20 NC_049241.1
chr21 NC_049242.1
chr22 NC_049243.1
chr23 NC_049244.1
chr24 NC_049245.1
chr25 NC_049246.1
chr26 NC_049247.1
chr27 NC_049248.1
chr28 NC_049249.1
chr29 NC_049250.1
chr30 NC_049251.1
chr31 NC_049252.1
chr32 NC_049253.1
chr33 NC_049254.1
chr34 NC_049255.1
chr35 NC_049256.1
chr36 NC_049257.1
chr37 NC_049258.1
chr38 NC_049259.1
