chr1	CM031295.1	NC_054824.1
chr2	CM031296.1	NC_054825.1
chr3	CM031297.1	NC_054826.1
chr4	CM031298.1	NC_054827.1
chr5	CM031299.1	NC_054828.1
chr6	CM031300.1	NC_054829.1
chr7	CM031301.1	NC_054830.1
chr8	CM031302.1	NC_054831.1
chr9	CM031303.1	NC_054832.1
chr10	CM031304.1	NC_054833.1
chr11	CM031305.1	NC_054834.1
chr12	CM031306.1	NC_054835.1
chr13	CM031307.1	NC_054836.1
chr14	CM031308.1	NC_054837.1
chr15	CM031309.1	NC_054838.1
chr16	CM031310.1	NC_054839.1
chr17	CM031311.1	NC_054840.1
chr18	CM031312.1	NC_054841.1
chr19	CM031313.1	NC_054842.1
chr20	CM031314.1	NC_054843.1
chr21	CM031315.1	NC_054844.1
chr22	CM031316.1	NC_054845.1
chr23	CM031317.1	NC_054846.1
chr24	CM031318.1	NC_054847.1
chrX	CM031319.1	NC_054848.1
