NC_006583.3 chr1
NC_006584.3 chr2
NC_006585.3 chr3
NC_006586.3 chr4
NC_006587.3 chr5
NC_006588.3 chr6
NC_006589.3 chr7
NC_006590.3 chr8
NC_006591.3 chr9
NC_006592.3 chr10
NC_006593.3 chr11
NC_006594.3 chr12
NC_006595.3 chr13
NC_006596.3 chr14
NC_006597.3 chr15
NC_006598.3 chr16
NC_006599.3 chr17
NC_006600.3 chr18
NC_006601.3 chr19
NC_006602.3 chr20
NC_006603.3 chr21
NC_006604.3 chr22
NC_006605.3 chr23
NC_006606.3 chr24
NC_006607.3 chr25
NC_006608.3 chr26
NC_006609.3 chr27
NC_006610.3 chr28
NC_006611.3 chr29
NC_006612.3 chr30
NC_006613.3 chr31
NC_006614.3 chr32
NC_006615.3 chr33
NC_006616.3 chr34
NC_006617.3 chr35
NC_006618.3 chr36
NC_006619.3 chr37
NC_006620.3 chr38
NC_006621.3 chrX
NW_003726146.1 chrUn_AAEX03018827
NW_003726173.1 chrUn_AAEX03019065
NW_003726176.1 chrUn_AAEX03019090
NW_003726178.1 chrUn_AAEX03019097
NW_003726196.1 chrUn_AAEX03019222
NW_003726198.1 chrUn_AAEX03019231
NW_003726201.1 chrUn_AAEX03019240
NW_003726202.1 chrUn_AAEX03019241
NW_003726210.1 chrUn_AAEX03019307
NW_003726217.1 chrUn_AAEX03019339
NW_003726218.1 chrUn_AAEX03019340
NW_003726219.1 chrUn_AAEX03019341
NW_003726233.1 chrUn_AAEX03019443
NW_003726238.1 chrUn_AAEX03019490
NW_003726239.1 chrUn_AAEX03019491
NW_003726240.1 chrUn_AAEX03019492
NW_003726245.1 chrUn_AAEX03019535
NW_003726247.1 chrUn_AAEX03019548
NW_003726249.1 chrUn_AAEX03019560
NW_003726266.1 chrUn_AAEX03019681
NW_003726268.1 chrUn_AAEX03019691
NW_003726274.1 chrUn_AAEX03019738
NW_003726279.1 chrUn_AAEX03019763
NW_003726299.1 chrUn_AAEX03019872
NW_003726303.1 chrUn_AAEX03019893
NW_003726315.1 chrUn_AAEX03019987
NW_003726322.1 chrUn_AAEX03020051
NW_003726324.1 chrUn_AAEX03020054
NW_003726325.1 chrUn_AAEX03020055
NW_003726326.1 chrUn_AAEX03020056
NW_003726328.1 chrUn_AAEX03020060
NW_003726331.1 chrUn_AAEX03020068
NW_003726336.1 chrUn_AAEX03020105
NW_003726341.1 chrUn_AAEX03020144
NW_003726344.1 chrUn_AAEX03020161
NW_003726347.1 chrUn_AAEX03020170
NW_003726355.1 chrUn_AAEX03020242
NW_003726357.1 chrUn_AAEX03020251
NW_003726370.1 chrUn_AAEX03020335
NW_003726376.1 chrUn_AAEX03020381
NW_003726378.1 chrUn_AAEX03020403
