Scaffold_1	chr1
Scaffold_2	chr2
Scaffold_3	chr3
Scaffold_4	chr4
Scaffold_5	chr5
Scaffold_6	chr6
Scaffold_7	chr7
Scaffold_8	chr8
Scaffold_9	chr9
Scaffold_10	chr10
Scaffold_11	chr11
Scaffold_12	chr12
Scaffold_13	chr13
Scaffold_14	chr14
Scaffold_15	chr15
Scaffold_16	chr16
Scaffold_17	chr17
Scaffold_18	chr18
Scaffold_19	chr19
Scaffold_20	chr20
Scaffold_21	chr21
Scaffold_22	chr22
Scaffold_23	chr23
Scaffold_24	chr24
Scaffold_25	chr25
Scaffold_26	chr26
Scaffold_27	chr27
Scaffold_28	chr28
Scaffold_39	chr39
Scaffold_30	chr30
Scaffold_31	chr31
Scaffold_32	chr32
Scaffold_33	chr33
Scaffold_34	chr34
Scaffold_35	chr35
Scaffold_36	chr36
Scaffold_37	chr37
Scaffold_38	chr38
